Frame;CaptureTime;LogTime;HMDPosition_x;HMDPosition_y;HMDPosition_z;HMDRotation_x;HMDRotation_y;HMDRotation_z;HeadForward_x;HeadForward_y;HeadForward_z;seq;GazeStatus;CombinedGazeForward_x;CombinedGazeForward_y;CombinedGazeForward_z;CombinedGazePosition_x;CombinedGazePosition_y;CombinedGazePosition_z;GazeAngle_x;GazeAngle_y;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftEyePosition_x;LeftEyePosition_y;LeftEyePosition_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightEyePosition_x;RightEyePosition_y;RightEyePosition_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
37670;1000776375816106700;63748134137312;1,796015;1,214363;-0,4170939;357,46;22,05511;0,2870922;0,3751294;0,3751294;0,3751294;0;VALID;0,04598434;-0,06753937;0,9966564;0;0;0;2,641674;-3,876776;VALID;0,03998557;-0,06007187;0,9973929;-0,03112125;0;0;2,295763;-3,446698;0,167349070310593;VALID;0,05197887;-0,07500064;0,9958279;0,03112125;0;0;2,987936;-4,307092;0,191833361983299;2;0,747590363025665
37671;1000776375826105400;63748134137312;1,796015;1,214363;-0,4170939;357,46;22,05511;0,2870922;0,3751294;0,3751294;0,3751294;0;VALID;0,04665753;-0,06822762;0,9965782;0;0;0;2,680501;-3,916466;VALID;0,04033753;-0,06089198;0,9973289;-0,03112125;0;0;2,316097;-3,49386;0,166777238249779;VALID;0,05297313;-0,07555682;0,9957334;0,03112125;0;0;3,045271;-4,339321;0,192231491208076;2;0,776178359985352
37672;1000776375836131400;63748134137312;1,796015;1,214363;-0,4170939;357,46;22,05511;0,2870922;0,3751294;0,3751294;0,3751294;0;VALID;0,04700484;-0,06879445;0,9965229;0;0;0;2,700574;-3,949119;VALID;0,04084906;-0,06136514;0,9972791;-0,03112125;0;0;2,345553;-3,521116;0,167613819241524;VALID;0,05315622;-0,07621733;0,9956733;0,03112125;0;0;3,05596;-4,377371;0,188365653157234;2;0,805305063724518
37673;1000776375846105900;63748134137322;1,795965;1,214487;-0,4171798;357,4347;22,06541;0,3269545;0,3752884;0,3752884;0,3752884;0;VALID;0,04742644;-0,0692338;0,9964725;0;0;0;2,724898;-3,97446;VALID;0,0413192;-0,06183865;0,9972305;-0,03112125;0;0;2,372633;-3,54839;0,167742073535919;VALID;0,05352929;-0,07662254;0,9956222;0,03112125;0;0;3,077525;-4,400777;0,18711556494236;2;0,827465176582336
37674;1000776375856189800;63748134137353;1,796237;1,214491;-0,4173492;357,4035;22,08529;0,3499915;0,3756003;0,3756003;0,3756003;0;VALID;0,04777907;-0,06988725;0,99641;0;0;0;2,745299;-4,012101;VALID;0,0418351;-0,06258044;0,9971628;-0,03112125;0;0;2,402386;-3,591087;0,166429489850998;VALID;0,05371878;-0,07718783;0,9955683;0,03112125;0;0;3,088565;-4,433354;0,187909543514252;2;0,845884323120117
37675;1000776375866307600;63748134137353;1,796237;1,214491;-0,4173492;357,4035;22,08529;0,3499915;0,3756003;0,3756003;0,3756003;0;VALID;0,04815122;-0,07035322;0,9963593;0;0;0;2,76679;-4,038968;VALID;0,04206511;-0,06328683;0,9971085;-0,03112125;0;0;2,41571;-3,631712;0,166876465082169;VALID;0,05423312;-0,07741345;0,9955229;0,03112125;0;0;3,118221;-4,446463;0,18705153465271;2;0,862079560756683
37676;1000776375876238100;63748134137353;1,796237;1,214491;-0,4173492;357,4035;22,08529;0,3499915;0,3756003;0,3756003;0,3756003;0;VALID;0,04823592;-0,07092702;0,9963145;0;0;0;2,771774;-4,071982;VALID;0,04227782;-0,06384438;0,9970639;-0,03112125;0;0;2,42802;-3,663783;0,167126685380936;VALID;0,05418985;-0,07800356;0,9954792;0,03112125;0;0;3,115875;-4,480416;0,188256368041039;2;0,879865109920502
37677;1000776375886310700;63748134137370;1,796307;1,214505;-0,4173818;357,418;22,09469;0,3608396;0,3757565;0,3757565;0,3757565;0;VALID;0,04818885;-0,07141958;0,9962816;0;0;0;2,769165;-4,100299;VALID;0,04216937;-0,06416302;0,9970481;-0,03112125;0;0;2,421837;-3,682077;0,167281806468964;VALID;0,05420403;-0,07866976;0,9954261;0,03112125;0;0;3,116854;-4,518764;0,187533468008041;2;0,896516561508179
37678;1000776375896237600;63748134137370;1,796307;1,214505;-0,4173818;357,418;22,09469;0,3608396;0,3757565;0,3757565;0,3757565;0;VALID;0,04809237;-0,0716725;0,9962682;0;0;0;2,763666;-4,114825;VALID;0,04196386;-0,06447805;0,9970364;-0,03112125;0;0;2,410076;-3,700149;0,167530551552773;VALID;0,05421656;-0,07886051;0,9954103;0,03112125;0;0;3,117623;-4,529747;0,188441589474678;2;0,911712229251862
37679;1000776375906243300;63748134137386;1,79654;1,214537;-0,4173238;357,4589;22,15161;0,3635155;0,376688;0,376688;0,376688;0;VALID;0,04788521;-0,07177805;0,9962705;0;0;0;2,751774;-4,120854;VALID;0,04189701;-0,06465501;0,9970278;-0,03112125;0;0;2,406263;-3,710308;0,167297795414925;VALID;0,05386924;-0,07889483;0,9954264;0,03112125;0;0;3,09764;-4,531637;0,188782706856728;2;0,927621006965637
