raw_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y
1000013551990382300,3919800,2.000000,1235244,1.000000,2,0.078847,-0.072040,0.994280,0.000000,0.000000,0.000000,0.291117,-0.071213,-0.082436,-0.071135,0.094757,-0.067386,0.993217,-0.029724,0.000000,0.000000,0.146676,3,0.275364,-0.066679,0.062915,-0.076675,0.995069,0.029724,0.000000,0.000000,0.145864,2,-0.066834,-0.075653
1000013552000413300,13950800,2.000000,1235245,1.000000,2,0.078878,-0.072054,0.994277,0.000000,0.000000,0.000000,0.291154,-0.071227,-0.082401,-0.071149,0.094755,-0.067513,0.993209,-0.029724,0.000000,0.000000,0.146495,3,0.275362,-0.066806,0.062980,-0.076575,0.995073,0.029724,0.000000,0.000000,0.145795,2,-0.066761,-0.075555
1000013552010377600,23915100,2.000000,1235246,1.000000,2,0.078523,-0.072339,0.994284,0.000000,0.000000,0.000000,0.290744,-0.071507,-0.082805,-0.071430,0.094197,-0.067732,0.993247,-0.029724,0.000000,0.000000,0.146468,3,0.274716,-0.067020,0.062828,-0.076925,0.995055,0.029724,0.000000,0.000000,0.145551,2,-0.066932,-0.075902
1000013552020372300,33909800,2.000000,1235247,1.000000,2,0.078329,-0.072622,0.994279,0.000000,0.000000,0.000000,0.290523,-0.071788,-0.083024,-0.071710,0.094044,-0.067850,0.993253,-0.029724,0.000000,0.000000,0.147070,3,0.274540,-0.067136,0.062594,-0.077373,0.995035,0.029724,0.000000,0.000000,0.146504,2,-0.067196,-0.076346
1000013552030376200,43913700,2.000000,1235248,1.000000,2,0.078198,-0.072887,0.994270,0.000000,0.000000,0.000000,0.290373,-0.072051,-0.083172,-0.071972,0.093849,-0.067959,0.993264,-0.029724,0.000000,0.000000,0.147205,3,0.274315,-0.067243,0.062526,-0.077796,0.995007,0.029724,0.000000,0.000000,0.145887,2,-0.067271,-0.076764
1000013552040375900,53913400,2.000000,1235249,1.000000,2,0.078156,-0.072866,0.994275,0.000000,0.000000,0.000000,0.290324,-0.072030,-0.083221,-0.071951,0.093780,-0.068016,0.993267,-0.029724,0.000000,0.000000,0.147270,3,0.274235,-0.067300,0.062510,-0.077696,0.995015,0.029724,0.000000,0.000000,0.145575,2,-0.067290,-0.076666
1000013552050506700,64044200,2.000000,1235250,1.000000,2,0.078027,-0.073100,0.994268,0.000000,0.000000,0.000000,0.290177,-0.072261,-0.083366,-0.072182,0.093639,-0.068084,0.993276,-0.029724,0.000000,0.000000,0.147076,3,0.274072,-0.067366,0.062394,-0.078095,0.994992,0.029724,0.000000,0.000000,0.145792,2,-0.067420,-0.077061
1000013552060505200,74042700,2.000000,1235251,1.000000,2,0.077924,-0.073206,0.994268,0.000000,0.000000,0.000000,0.290058,-0.072366,-0.083483,-0.072287,0.093403,-0.068351,0.993279,-0.029724,0.000000,0.000000,0.146769,3,0.273800,-0.067631,0.062424,-0.078041,0.994994,0.029724,0.000000,0.000000,0.145678,2,-0.067385,-0.077008
1000013552070500100,84037600,2.000000,1235252,1.000000,2,0.077855,-0.073217,0.994273,0.000000,0.000000,0.000000,0.289979,-0.072377,-0.083562,-0.072298,0.093235,-0.068416,0.993291,-0.029724,0.000000,0.000000,0.146877,3,0.273606,-0.067694,0.062455,-0.077999,0.994995,0.029724,0.000000,0.000000,0.145693,2,-0.067351,-0.076966
1000013552080488700,94026200,2.000000,1235253,1.000000,2,0.077730,-0.073453,0.994265,0.000000,0.000000,0.000000,0.289836,-0.072611,-0.083704,-0.072532,0.093217,-0.068553,0.993283,-0.029724,0.000000,0.000000,0.147650,3,0.273586,-0.067830,0.062222,-0.078334,0.994983,0.029724,0.000000,0.000000,0.145560,2,-0.067614,-0.077298
1000013552090501000,104038500,2.000000,1235254,1.000000,2,0.077597,-0.073649,0.994261,0.000000,0.000000,0.000000,0.289684,-0.072805,-0.083854,-0.072725,0.093134,-0.068546,0.993291,-0.029724,0.000000,0.000000,0.147964,3,0.273490,-0.067823,0.062039,-0.078732,0.994964,0.029724,0.000000,0.000000,0.145651,2,-0.067821,-0.077692
1000013552100511000,114048500,2.000000,1235255,1.000000,2,0.077611,-0.073691,0.994257,0.000000,0.000000,0.000000,0.289701,-0.072847,-0.083838,-0.072767,0.093165,-0.068745,0.993275,-0.029724,0.000000,0.000000,0.147545,3,0.273527,-0.068020,0.062037,-0.078618,0.994973,0.029724,0.000000,0.000000,0.145636,2,-0.067823,-0.077579
1000013552110505200,124042700,2.000000,1235256,1.000000,2,0.077378,-0.073917,0.994258,0.000000,0.000000,0.000000,0.289433,-0.073070,-0.084103,-0.072990,0.092786,-0.068819,0.993305,-0.029724,0.000000,0.000000,0.146251,3,0.273088,-0.068092,0.061950,-0.078995,0.994948,0.029724,0.000000,0.000000,0.145653,2,-0.067921,-0.077952
1000013552120612800,134150300,2.000000,1235257,1.000000,2,0.077395,-0.073935,0.994255,0.000000,0.000000,0.000000,0.289452,-0.073088,-0.084084,-0.073008,0.092848,-0.068985,0.993288,-0.029724,0.000000,0.000000,0.147613,3,0.273161,-0.068257,0.061921,-0.078866,0.994960,0.029724,0.000000,0.000000,0.145605,2,-0.067954,-0.077824
