Frame;CaptureTime;LogTime;LeftEyeStatus;LeftEyeForward_x;LeftEyeForward_y;LeftEyeForward_z;LeftAngle_x;LeftAngle_y;LeftEyePupilSize;RightEyeStatus;RightEyeForward_x;RightEyeForward_y;RightEyeForward_z;RightAngle_x;RightAngle_y;RightEyePupilSize;FocusDistance;FocusStability
45929;1E+18;6,37486E+13;VALID;0,02964393;-0,07119063;0,9970222;1,703043;-4,084174;0,131947458;VALID;0,007721642;-0,0693538;0,9975622;0,4434898;-3,976991;0,133215949;2;1
45930;1E+18;6,37486E+13;VALID;0,02960366;-0,07131249;0,9970146;1,700744;-4,091172;0,13187173;VALID;0,007609063;-0,06957163;0,9975479;0,4370304;-3,989499;0,133148387;2;1
45931;1E+18;6,37486E+13;VALID;0,02951702;-0,07147888;0,9970053;1,695785;-4,100723;0,131936818;VALID;0,007795173;-0,06951039;0,9975508;0,447718;-3,985987;0,133610666;2;1
45932;1E+18;6,37486E+13;VALID;0,02951116;-0,07181641;0,9969812;1,69549;-4,12012;0,131329626;VALID;0,007634656;-0,06962924;0,9975438;0,4385021;-3,992809;0,133037195;2;1
45933;1E+18;6,37486E+13;VALID;0,02946875;-0,07189947;0,9969764;1,693062;-4,124888;0,131346002;VALID;0,007509917;-0,06976764;0,997535;0,4313417;-4,000754;0,13282381;2;1
45934;1E+18;6,37486E+13;VALID;0,02944529;-0,07229703;0,9969484;1,691763;-4,147733;0,131092116;VALID;0,007384569;-0,06994958;0,9975232;0,4241474;-4,011201;0,13276875;2;1
45935;1E+18;6,37486E+13;VALID;0,02940637;-0,07239026;0,9969428;1,689538;-4,153087;0,131346002;VALID;0,007164992;-0,07001186;0,9975204;0,4115372;-4,014771;0,132429972;2;1
45936;1E+18;6,37486E+13;VALID;0,0293911;-0,07240267;0,9969423;1,688662;-4,153798;0,130107224;VALID;0,007294191;-0,06989148;0,997528;0,4189546;-4,007861;0,132778615;2;1
45937;1E+18;6,37486E+13;VALID;0,02946461;-0,07249726;0,9969333;1,692898;-4,159244;0,12987119;VALID;0,007247158;-0,06978352;0,9975358;0,41625;-4,001658;0,131928369;2;1
45938;1E+18;6,37486E+13;VALID;0,02952278;-0,07253978;0,9969285;1,696247;-4,161694;0,129858613;VALID;0,007193021;-0,06975535;0,9975382;0,4131397;-4,000039;0,131724909;2;1
45939;1E+18;6,37486E+13;VALID;0,02953172;-0,07273655;0,9969139;1,696785;-4,173004;0,130120501;VALID;0,007251761;-0,0697592;0,9975375;0,4165137;-4,000262;0,129952267;2;1
